CountryRegionCode,Power,Industry,Domestic Aviation,Ground Transport,Residential,All Sectors
CHN,4569.02,4101.71,62.46,924,804.38,10461.56
USA,1605.14,1031.37,174.89,1646.69,600.98,5059.07
IND,1197.64,751.12,7.2,299.63,204.05,2459.65
RUS,840.4,284.32,15.42,232.37,172.03,1544.55
JPN,524.54,268.83,9.01,178.22,108.31,1088.92
DEU,243.22,124.05,2.12,150.48,138.21,658.09
CAN,85.82,192.73,14.37,159.43,99.13,551.48
KOR,306.17,153.84,3.61,92.44,63.29,619.35
IDN,257.34,170.29,9.11,131.94,29.97,598.65
BRA,80.2,130.02,10.08,171.17,36.62,428.09
MEX,139.4,129.41,0.04,138.8,30.21,437.86
IRN,175.78,167.51,0,138.49,155.73,637.51
AUS,196.12,92.14,9.42,89.38,25.97,413.02
SAU,253.33,163.66,2.64,131.4,4.36,555.39
TUR,137.26,103.01,4.63,86.39,67.72,399.01
ZAF,253.72,107.96,3.5,52.29,31.3,448.78
FRA,29.43,61.67,2.33,116.62,79.87,289.92
ITA,93.88,54.39,1.89,91.13,74.95,316.23
GBR,76.35,61.21,2.41,113.8,90.2,343.98
ESP,55.08,62.25,5.64,84.83,36.7,244.49
THA,84.38,89.83,2.56,66.82,19.85,263.44
KAZ,98.8,116.91,0.2,16.51,26.94,259.36
POL,140.49,45.96,0.07,59.88,53.2,299.6
TWN,155.65,61.19,0.28,36.49,10.25,263.85
PAK,44.45,109.54,0.28,33.5,23.36,211.13
VNM,116.89,119.51,0.87,37.77,18.3,293.34
EGY,96.36,70.79,1.62,46.48,18.12,233.37
ARG,51.29,50.52,1.29,39.89,37.03,180.03
MYS,103.16,50.15,1.94,61.35,6.87,223.46
UKR,81.32,44.9,0,24.11,26.08,176.41
ARE,73.32,89.37,1.28,37.79,1.23,202.98
DZA,43.61,37.27,0.42,47.73,27.09,156.12
PHL,72.51,31.93,1.52,33.6,8.07,147.63
NLD,49.4,32.04,0.03,30.69,33.18,145.34
BEL,18.25,26.74,0.01,24.7,24.83,94.53
VEN,19.77,34.7,0,25.57,3.52,83.56
CHL,32.84,21.43,1.74,26.02,6.43,88.46
COL,16.44,27.2,0.07,30.65,9.13,83.49
NGA,14.24,29.23,0,28.45,9.42,81.34
IRQ,98.48,28.6,0,25.71,8.4,161.2
CZE,50.46,18.41,0.12,18.08,12.4,99.47
BGD,48.25,31.24,0,12.01,15.04,106.54
QAT,21.4,50.09,0,17.42,0.4,89.31
ROU,23.89,19.65,0.13,18.58,10.32,72.57
AUT,14.08,19.75,0.1,24.32,9.05,67.31
KWT,41.47,36.25,0,10.92,0.51,89.15
OMN,18.34,36.87,0,16.82,3.79,75.83
GRC,23.37,14.78,0.5,16.1,7.92,62.67
MAR,30.23,15.32,0.09,17.08,9.74,72.46
UZB,36.35,17.35,0.29,5.13,29.3,88.43
TKM,26.41,11.11,0,13.6,35.06,86.18
BLR,29.95,11.33,0.07,11.8,7.93,61.08
SWE,6.58,11.23,0.39,19.05,1.45,38.71
PRT,13.12,11.71,0.39,16.08,4.48,45.77
MMR,6.09,13.51,0.59,20.57,6.78,47.54
NOR,2.46,18.15,1.12,11.86,2.28,35.86
PER,11.85,15.72,0,23.13,4.23,54.94
SRB,5.05,0.69,0,0.8,0.33,6.87
MNE,45.44,6.2,0,7.19,2.94,61.78
HUN,10.9,8.96,0,13.78,12.43,46.07
ISR,37.58,8.99,0.06,18.42,1.8,66.84
ECU,8.05,7.63,0.01,16.26,5.93,37.88
CHE,2.78,7.29,0.17,15.26,12.64,38.14
NZL,5.69,8.7,0.91,14.6,3.34,33.25
FIN,15.49,10.53,0.18,10.37,3.73,40.3
PRK,5.51,25.86,0,1.54,7.11,40.02
BGR,22.13,6.05,0.04,9.78,1.47,39.48
SGP,23.24,15.61,0,6.8,0.65,46.29
IRL,9.03,6.58,0.03,11.74,8.09,35.47
SVK,6.31,13.9,0,6.9,4.9,32
DNK,7.09,6.39,0.09,12.17,4.23,29.98
TUN,9.88,9.86,0.01,7.26,4.11,31.13
AZE,13.75,5.76,0.65,7.2,7.73,35.1
LKA,8.38,4.96,0.01,11.39,1.37,26.11
LBY,26.36,3.16,0.01,17.94,1.17,48.64
CUB,15.78,9.82,0,1.37,3.71,30.67
KEN,1.32,6.4,0.07,9.67,1.76,19.22
SDN,5.17,4.07,0.02,10.47,1.93,21.65
BIH,22.17,4.53,0,3.53,1.85,32.08
MNG,26.65,2.39,0,2.55,4.22,35.81
ETH,0,7.97,0.32,6.41,2.48,17.19
DOM,13.33,6.47,0,5.58,1.62,27
BHR,21.25,6.64,0.11,3.56,0.28,31.84
HRV,2.98,5.12,0.03,5.76,3.12,17.02
JOR,14.71,4.29,0.02,7.09,2.12,28.22
BOL,3.9,4.58,0.56,9.5,5.91,24.45
TTO,4.76,10.6,0.3,2.45,0.33,18.43
AGO,3.2,4.18,0.64,7.12,4.29,19.43
GHA,3.29,3.52,0,8.58,1.19,16.58
SYR,10.64,5.01,0.1,6.45,4.64,26.83
LTU,1.52,3.38,0,5.76,1.09,11.75
GTM,7.4,3.73,0,8.11,0.98,20.21
LBN,14.31,3.47,0,6.16,3.46,27.39
KHM,8.29,1.11,0.02,5.56,1.4,16.38
LUX,0.45,1.33,0,6.22,1.56,9.56
CIV,4.54,3.27,0,3.62,1.27,12.7
NCL,3.39,11.26,0.04,0.74,0.1,15.53
GEO,1.3,2.95,0,3.87,1.91,10.03
TZA,2.7,3.39,0,6.66,0.35,13.1
CRI,0.08,2.19,0.01,5.95,0.55,8.78
PRY,0,0.65,0,7.2,0.29,8.14
SVN,4.53,2.26,0,5.14,1.34,13.28
PAN,2.87,3.37,0,4.54,0.82,11.6
KGZ,3.32,2.66,0.01,2.97,2.78,11.74
EST,10.24,1.03,0,2.37,0.78,14.42
SEN,3,3.05,0,3.21,0.44,9.7
NPL,0,7.25,0,5.05,2.45,14.76
AFG,3.55,0.71,0.29,5.06,0.89,10.5
ZMB,0.41,4.55,0,1.64,0.41,7.01
LVA,1.85,1.5,0,3.28,1.27,7.89
MDA,3.68,1.46,0,2.43,1.48,9.06
URY,0.67,1.42,0.02,3.3,0.94,6.35
HND,3.54,2.36,0,3.96,0.38,10.23
CMR,1.21,1.93,0.08,3.53,0.53,7.28
MOZ,0.88,1.83,0,4.73,0.8,8.23
BEN,0.32,1.41,0,6.27,0.1,8.1
ZWE,5.53,1.47,0,2.41,0.97,10.39
MKD,4.6,1.66,0,1.96,0.31,8.53
ALB,0,1.99,0,2.76,0.72,5.47
YEM,3.03,2.51,0,2.39,1.76,9.69
JAM,2.6,2.74,0,1.67,0.33,7.34
BWA,3.55,0.74,0,2.48,0.16,6.93
UGA,0.97,1.55,0.08,2,0.52,5.12
LAO,1.24,5.29,0.01,0.14,0.02,6.69
SLV,1.48,1.13,0,3.12,0.67,6.41
BRN,2.52,2.37,0,1.52,0.14,6.55
NAM,0.1,0.66,0.04,2.17,1.41,4.38
CYP,3.12,1.55,0,1.92,0.59,7.18
NIC,1.71,0.99,0.02,2.29,0.64,5.66
ANT,2.94,0.26,0.04,1.94,0.72,5.9
TJK,0.8,0.62,0,2.57,4.47,8.46
BFA,0.8,0.6,0.06,1.65,0.43,3.55
MDG,1.84,0.59,0.05,1.18,0.46,4.12
ARM,1.54,0.62,0,1.77,1.86,5.79
MRT,0.64,0.72,0.05,1.3,0.34,3.05
PNG,1.29,0.34,0.1,1.79,0.35,3.87
REU,0.68,0.51,0.05,1.4,0.36,3.01
GIN,0.62,0.57,0.05,1.28,0.33,2.86
MUS,2.56,0.37,0.02,1.14,0.22,4.3
HTI,0.97,0.69,0,1.44,0.27,3.38
GAB,0.88,1.35,0,0.84,0.37,3.44
PRI,2.4,1.13,0,0.02,0.26,3.81
NER,0.56,0.25,0,1.36,0.07,2.25
COG,0.5,0.43,0.07,1.55,0.07,2.62
BRB,3.08,0.13,0.01,0.41,0.19,3.81
COD,0.01,0.12,0,2.23,0.01,2.36
BHS,1.21,0.11,0.02,0.8,0.3,2.43
GNQ,0.28,0.76,0.01,0.39,0.1,1.54
SUR,0.86,0.14,0,0.65,0.39,2.05
TGO,0.02,0.79,0,1.75,0.26,2.82
MWI,0.5,0.31,0.02,0.54,0.17,1.54
SLE,0.29,0.3,0.02,0.6,0.15,1.36
ISL,0,0.56,0.02,0.8,0.66,2.04
MTQ,0.93,0.14,0.01,0.62,0.23,1.94
BTN,0.31,1.25,0.01,0.12,0.02,1.71
GLP,0.86,0.2,0.01,0.57,0.21,1.86
LBR,0.26,0.25,0.02,0.53,0.14,1.18
RWA,0.23,0.29,0.02,0.46,0.12,1.12
FJI,0.42,0.18,0.04,0.63,0.09,1.35
PLW,0.44,0.09,0.04,0.67,0.09,1.33
GUY,0.68,0.21,0.01,0.45,0.17,1.52
DJI,0.23,0.21,0.02,0.47,0.12,1.05
MLI,0.1,0.34,0.04,0.3,0.16,0.94
SYC,0.25,0.15,0.02,0.5,0.13,1.05
CPV,0.24,0.14,0.02,0.49,0.13,1.02
SWZ,0.49,0.14,0.01,0.36,0.13,1.14
SOM,0.22,0.13,0.02,0.45,0.12,0.93
MDV,0.3,0.06,0.03,0.45,0.06,0.91
LSO,0.17,0.1,0.01,0.36,0.09,0.75
MLT,0.51,0.02,0,0.34,0.11,0.98
GMB,0.14,0.08,0.01,0.28,0.07,0.58
ABW,0.39,0.03,0.01,0.26,0.1,0.78
PYF,0.2,0.04,0.02,0.3,0.04,0.59
TCD,0.08,0.13,0.01,0.17,0.04,0.43
CAF,0.11,0.07,0.01,0.23,0.06,0.47
GUF,0.29,0.05,0,0.19,0.07,0.61
GNB,0.1,0.06,0.01,0.21,0.05,0.43
ERI,0.38,0.1,0,0.2,0.06,0.74
ATG,0.25,0.02,0,0.17,0.06,0.51
BDI,0.06,0.07,0,0.11,0.03,0.28
GIB,0.19,0,0,0.5,0,0.69
CYM,0.2,0.02,0,0.13,0.05,0.4
ESH,0.07,0.04,0.01,0.14,0.04,0.3
BLZ,0.18,0.02,0,0.12,0.04,0.37
GRL,0.11,0.03,0.02,0.07,0.31,0.53
BMU,0.17,0.02,0,0.11,0.04,0.35
TLS,0.09,0.02,0.01,0.13,0.02,0.26
LCA,0.15,0.01,0,0.1,0.04,0.29
COM,0.05,0.03,0,0.1,0.03,0.21
GRD,0.11,0.01,0,0.07,0.03,0.23
STP,0.04,0.02,0,0.08,0.02,0.16
KNA,0.1,0.01,0,0.06,0.02,0.19
WSM,0.05,0.01,0,0.07,0.01,0.14
SLB,0.04,0.01,0,0.07,0.01,0.13
TON,0.04,0.01,0,0.06,0.01,0.13
VCT,0.07,0.01,0,0.05,0.02,0.14
TCA,0.07,0.01,0,0.04,0.02,0.13
VGB,0.06,0.01,0,0.04,0.01,0.12
VUT,0.03,0.01,0,0.04,0.01,0.08
DMA,0.05,0,0,0.03,0.01,0.1
SPM,0.03,0,0,0.02,0.01,0.06
COK,0.01,0,0,0.02,0,0.04
KIR,0.01,0,0,0.02,0,0.03
FLK,0.02,0,0,0.01,0,0.03
SHN,0,0,0,0.01,0,0.02
AIA,0,0,0,0.02,0,0.02
